model,roc_auc_pooled,roc_auc_mean,roc_auc_sd,ap_pooled,ap_mean,ap_sd,brier_score,accuracy_0.5,sensitivity_0.5,specificity_0.5,f1_0.5,n_images,n_patients
S1-D,0.6213817457778423,0.6227303290673085,0.0040473554676790395,0.5192337951211191,0.522005345359654,0.005139807246554853,0.24085410145261282,0.5812491331884795,0.630801687763713,0.5459009900990099,0.5564152791380998,86524,28008
S2-D,0.7523896585444686,0.7535424375366192,0.0022012619376076477,0.6728964983660778,0.6742042988819832,0.0030650891756995465,0.20019203239562636,0.7044635014562434,0.6263602043082389,0.7601782178217822,0.6383117158658538,86524,28008
S3-D,0.7533671457752038,0.7541232324386445,0.003203151719830263,0.6716630791643542,0.6733193940155272,0.004774543642433332,0.20039625882206208,0.704070546900282,0.6355762824783477,0.7529306930693069,0.641371486196899,86524,28008
S1-A,0.5513416531443285,0.5523412281456032,0.007572797494420921,0.4580973258177711,0.46114656101144524,0.007567448679718772,0.24963059284175845,0.5330197401876936,0.5542693759715746,0.5178613861386139,0.4970686715044997,86524,28008
S1-B,0.5730196590611759,0.5752582655341426,0.00445716678877322,0.4691671658751102,0.47307759560207774,0.006917637302710647,0.24601413074402678,0.5472123341500624,0.6265267599378193,0.4906336633663366,0.5353606034370293,86524,28008
S1-C,0.6206464290582956,0.6219420585202234,0.00384141922069772,0.5191694036232999,0.5219015517989295,0.004375912316993978,0.2418670924252032,0.57847533632287,0.6466522318454364,0.5298415841584159,0.5609063109484481,86524,28008
S3-A,0.7532440603404111,0.7539967513213043,0.00315313255228869,0.6722250366641271,0.6732440885096553,0.004604952575038239,0.19922880346273097,0.7046715362211641,0.6213912946924273,0.7640792079207921,0.6366338182386986,86524,28008
S3-B,0.7536034189528212,0.754089665435617,0.0038421609077730345,0.6721679158199945,0.6733058105248118,0.005850182609064635,0.19972004932360202,0.705549905228607,0.6181989784588052,0.7678613861386139,0.636131225273862,86524,28008
S3-C,0.7534709860642961,0.7543956081465476,0.00313633156420643,0.6720053555603894,0.6738011088220637,0.00439179585194759,0.19951622384693907,0.7046946511950442,0.6316344659116144,0.7568118811881188,0.6404255618570484,86524,28008
